# Study accession: phs001523.v1.p1
# Table accession: pht008454.v1.p1
# Consent group: All
# Citation instructions: The study accession (phs001523.v1.p1) is used to cite the study and its data tables and documents. The data in this file should be cited using the accession pht008454.v1.p1.
# To cite columns of data within this file, please use the variable (phv#) accessions below:
#
# 1) the table name and the variable (phv#) accessions below; or
# 2) you may cite a variable as phv#.v1.p1

##phv00396104.v1.p1	phv00396105.v1.p1
dbGaP_Sample_ID	SAMPLE_ID	SRA_ACCESSION
2910434	EP007214_K70_BS1D	SRS2927013
2910432	EP007214_K60_MV1D	SRS2927014
2910431	EP007214_K60_MRCD	SRS2927015
2910430	EP007214_K60_MCKD	SRS2927016
2910428	EP007214_K50_MV1D	SRS2927017
2910427	EP007214_K50_MRCD	SRS2927018
2910426	EP007214_K50_MCKD	SRS2927019
2910424	EP007214_K40_MV1D	SRS2927020
2910436	EP007214_K80_BRCD	SRS2927021
2910435	EP007214_K80_BCKD	SRS2927022
2910530	EP013894_K60_MV1D	SRS2927023
2911292	EP101319_K40_MV1D	SRS2927024
2911293	EP101319_K50_BC1D	SRS2927025
2911290	EP101319_K30_MCKD	SRS2927026
2911291	EP101319_K30_MV1D	SRS2927027
2911327	EP103789_K100_BS1D	SRS2927028
2911328	EP103789_K10_MCKD	SRS2927029
2911294	EP101319_K50_BSTD	SRS2927030
2911295	EP101319_K60_MCKD	SRS2927031
2911330	EP103789_K10_MV1D	SRS2927032
2911331	EP103789_K40_BS1D	SRS2927033
2911363	EP107715_K40_MCKD	SRS2927034
2911364	EP107715_K60_BS1D	SRS2927035
2910809	EP049012_K80_BS1D	SRS2927036
2910817	EP052210_K40_MCKD	SRS2927037
2910823	EP052210_K90_MCKD	SRS2927038
2910824	EP056457_K10_MCKD	SRS2927039
2910805	EP049012_K50_MV1D	SRS2927040
2910806	EP049012_K60_BS1D	SRS2927041
2911224	EP096728_K20_MCKD	SRS2927042
2911223	EP096728_K10_MV1D	SRS2927043
2911196	EP093201_K60_MV1D	SRS2927044
2911195	EP093201_K50_MCKD	SRS2927045
2911194	EP093201_K50_BSTD	SRS2927046
2911193	EP093201_K40_MV1D	SRS2927047
2910825	EP056457_K10_MV1D	SRS2927048
2910826	EP056457_K20_MCKD	SRS2927049
2911190	EP093201_K10_MV1D	SRS2927050
2911189	EP093201_K10_MCKD	SRS2927051
2910635	EP028055_K40_MV1D	SRS2927052
2910634	EP028055_K40_MRCD	SRS2927053
2910633	EP028055_K40_MCKD	SRS2927054
2910631	EP028055_K30_MRCD	SRS2927055
